global_step,CR/idle_time,CR/idle_time_cost,CR/makespan,CR/makespan_cost,CR/processing_time,CR/tard_cost,CR/total_cost,CR/total_tardiness,ETD/idle_time,ETD/idle_time_cost,ETD/makespan,ETD/makespan_cost,ETD/processing_time,ETD/tard_cost,ETD/total_cost,ETD/total_tardiness,FDD_over_MWKR/idle_time,FDD_over_MWKR/idle_time_cost,FDD_over_MWKR/makespan,FDD_over_MWKR/makespan_cost,FDD_over_MWKR/processing_time,FDD_over_MWKR/tard_cost,FDD_over_MWKR/total_cost,FDD_over_MWKR/total_tardiness,LWKR_MOD/idle_time,LWKR_MOD/idle_time_cost,LWKR_MOD/makespan,LWKR_MOD/makespan_cost,LWKR_MOD/processing_time,LWKR_MOD/tard_cost,LWKR_MOD/total_cost,LWKR_MOD/total_tardiness,LWKR_SPT/idle_time,LWKR_SPT/idle_time_cost,LWKR_SPT/makespan,LWKR_SPT/makespan_cost,LWKR_SPT/processing_time,LWKR_SPT/tard_cost,LWKR_SPT/total_cost,LWKR_SPT/total_tardiness,MWKR/idle_time,MWKR/idle_time_cost,MWKR/makespan,MWKR/makespan_cost,MWKR/processing_time,MWKR/tard_cost,MWKR/total_cost,MWKR/total_tardiness,PPO/idle_time,PPO/idle_time_cost,PPO/makespan,PPO/makespan_cost,PPO/processing_time,PPO/tard_cost,PPO/total_cost,PPO/total_tardiness
22,100,1.0,2500,250.0,19300,917.5,1554.5,18350,1000,10.0,2900,290.0,19300,475.0,1161.0,9500,200,2.0,2500,250.0,19300,1107.5,1745.5,22150,1400,14.0,3000,300.0,19300,632.5,1332.5,12650,3400,34.0,3100,310.0,19300,812.5,1542.5,16250,600,6.0,2600,260.0,19300,1147.5,1799.5,22950,900,9.0,2900,290.0,19300,442.5,1127.5,8850
23,0,0.0,3200,320.0,23000,1252.5,2032.5,25050,1200,12.0,3600,360.0,23000,455.0,1287.0,9100,200,2.0,3100,310.0,23000,1512.5,2284.5,30250,1300,13.0,3600,360.0,23000,587.5,1420.5,11750,2400,24.0,3500,350.0,23000,847.5,1681.5,16950,300,3.0,3000,300.0,23000,1637.5,2400.5,32750,2200,22.0,3700,370.0,23000,517.5,1369.5,10350
24,200,2.0,2900,290.0,22800,1312.5,2060.5,26250,1500,15.0,3400,340.0,22800,522.5,1333.5,10450,0,0.0,2900,290.0,22800,1572.5,2318.5,31450,1700,17.0,3600,360.0,22800,587.5,1420.5,11750,3400,34.0,3900,390.0,22800,902.5,1782.5,18050,100,1.0,2900,290.0,22800,1602.5,2349.5,32050,1100,11.0,3500,350.0,22800,547.5,1364.5,10950
25,0,0.0,2300,230.0,17400,597.5,1175.5,11950,400,4.0,2600,260.0,17400,282.5,894.5,5650,200,2.0,2300,230.0,17400,807.5,1387.5,16150,1100,11.0,2700,270.0,17400,337.5,966.5,6750,1700,17.0,3000,300.0,17400,540.0,1205.0,10800,500,5.0,2300,230.0,17400,817.5,1400.5,16350,500,5.0,2700,270.0,17400,280.0,903.0,5600
26,100,1.0,2200,220.0,16800,607.5,1164.5,12150,1700,17.0,2800,280.0,16800,305.0,938.0,6100,0,0.0,2200,220.0,16800,717.5,1273.5,14350,1500,15.0,2600,260.0,16800,342.5,953.5,6850,2200,22.0,2900,290.0,16800,532.5,1180.5,10650,400,4.0,2200,220.0,16800,777.5,1337.5,15550,700,7.0,2600,260.0,16800,247.5,850.5,4950
27,0,0.0,2500,250.0,17700,607.5,1211.5,12150,1000,10.0,2800,280.0,17700,265.0,909.0,5300,600,6.0,2400,240.0,17700,730.0,1330.0,14600,1500,15.0,2800,280.0,17700,357.5,1006.5,7150,1900,19.0,2800,280.0,17700,567.5,1220.5,11350,700,7.0,2400,240.0,17700,862.5,1463.5,17250,1000,10.0,2900,290.0,17700,287.5,941.5,5750
28,0,0.0,2400,240.0,18300,677.5,1283.5,13550,1400,14.0,2900,290.0,18300,325.0,995.0,6500,400,4.0,2400,240.0,18300,967.5,1577.5,19350,1300,13.0,2600,260.0,18300,367.5,1006.5,7350,1800,18.0,2900,290.0,18300,592.5,1266.5,11850,500,5.0,2400,240.0,18300,862.5,1473.5,17250,700,7.0,2800,280.0,18300,307.5,960.5,6150
29,0,0.0,2300,230.0,17900,682.5,1270.5,13650,1200,12.0,2900,290.0,17900,285.0,945.0,5700,100,1.0,2300,230.0,17900,862.5,1451.5,17250,1500,15.0,3000,300.0,17900,342.5,1015.5,6850,2000,20.0,3000,300.0,17900,470.0,1148.0,9400,500,5.0,2400,240.0,17900,907.5,1510.5,18150,2300,23.0,2800,280.0,17900,297.5,958.5,5950
30,300,3.0,2500,250.0,19300,952.5,1591.5,19050,1500,15.0,3200,320.0,19300,420.0,1141.0,8400,0,0.0,2500,250.0,19300,1062.5,1698.5,21250,1200,12.0,2900,290.0,19300,487.5,1175.5,9750,2900,29.0,3200,320.0,19300,702.5,1437.5,14050,400,4.0,2500,250.0,19300,1082.5,1722.5,21650,900,9.0,2800,280.0,19300,377.5,1052.5,7550
31,100,1.0,2400,240.0,17700,617.5,1212.5,12350,1500,15.0,2900,290.0,17700,175.0,834.0,3500,0,0.0,2400,240.0,17700,757.5,1351.5,15150,1600,16.0,3000,300.0,17700,257.5,927.5,5150,2800,28.0,3200,320.0,17700,492.5,1194.5,9850,500,5.0,2300,230.0,17700,842.5,1431.5,16850,2100,21.0,2900,290.0,17700,242.5,907.5,4850
