time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/explained_variance,train/clip_range,train/approx_kl,train/loss,train/learning_rate,eval/std_reward,eval/mean_reward,eval/mean_ep_length
459,41.82962694999999,2217,57.76,498,1019904,4970,0.212548828125,-0.020267818766296842,0.46219075107946994,-1.5323237307369708,0.9859573086723685,0.1,0.008694744,0.03613857924938202,3e-05,,,
,,,,,1020000,4980,0.219921875,-0.019731986938859337,0.38386324273888023,-1.522160181030631,0.9895614944398403,0.1,0.010188209,0.05253622680902481,3e-05,2.8212440399196335,41.95222166608717,59.2
459,41.690879800000005,2222,57.26,499,1021952,,,,,,,,,,,,,
459,42.431452779999994,2227,57.21,500,1024000,4990,0.216162109375,-0.021862243932991986,0.4406673684250563,-1.5506178908050061,0.9861121261492372,0.1,0.011719005,0.05320969596505165,3e-05,,,
459,41.54332592,2231,57.46,501,1026048,5000,0.226025390625,-0.02149001442521694,0.4191777087748051,-1.5129446882754565,0.9897443298250437,0.1,0.009142381,0.016738273203372955,3e-05,,,
459,41.955136159999995,2235,57.57,502,1028096,5010,0.225830078125,-0.021602332204929554,0.39238281522411855,-1.5456593841314317,0.9870290476828814,0.1,0.010915242,0.01962532475590706,3e-05,,,
,,,,,1030000,5020,0.202978515625,-0.02230693788442295,0.36781321114394816,-1.5163814406841993,0.9890688033774495,0.1,0.009497762,0.005738358944654465,3e-05,7.351493157202915,37.27086016881243,62.2
459,41.24190403000001,2240,57.99,503,1030144,,,,,,,,,,,,,
459,41.52678023999999,2245,58.13,504,1032192,5030,0.208740234375,-0.02246689865278313,0.3818944182829,-1.5146436132490635,0.9870442124083638,0.1,0.0099883545,0.058544036000967026,3e-05,,,
459,41.69635727,2249,59.17,505,1034240,5040,0.211474609375,-0.021843193625682034,0.39565343901049344,-1.5197844155132771,0.9888220187276602,0.1,0.009854289,0.006329640746116638,3e-05,,,
459,41.91252358,2253,59.26,506,1036288,5050,0.2228515625,-0.021787928897538222,0.4488725449424237,-1.5536085963249207,0.9871040219441056,0.1,0.010045284,-0.004090346395969391,3e-05,,,
459,41.65504805,2258,58.11,507,1038336,5060,0.244677734375,-0.022806509006477425,0.3562310393783264,-1.5616479843854905,0.9889563675969839,0.1,0.010244536,0.03891763463616371,3e-05,,,
,,,,,1040000,5070,0.2220703125,-0.02046851940394845,0.38285096974577754,-1.5127932913601398,0.9860116075724363,0.1,0.012286844,-0.0006547048687934875,3e-05,9.90115276396379,38.010297018206344,62.0
459,41.446635390000004,2263,57.68,508,1040384,,,,,,,,,,,,,
459,41.05436397,2267,57.41,509,1042432,5080,0.24970703125,-0.023693009788985364,0.31154708691174166,-1.5422972340136767,0.9900859389454126,0.1,0.013817965,0.013682078570127487,3e-05,,,
459,41.18587170000001,2272,58.65,510,1044480,5090,0.253466796875,-0.02259708285855595,0.31825352389132605,-1.5470444701611996,0.9880506694316864,0.1,0.01170946,0.01365247368812561,3e-05,,,
459,41.08545768,2276,57.9,511,1046528,5100,0.218505859375,-0.023746757200569846,0.41393989755306393,-1.5224871482700109,0.9836306571960449,0.1,0.011298751,0.031154237687587738,3e-05,,,
459,40.74522672999999,2281,58.43,512,1048576,5110,0.207080078125,-0.02053823387468583,0.4078568819444627,-1.4729203961789608,0.9871202250942588,0.1,0.009656655,0.01255258172750473,3e-05,,,
,,,,,1050000,5120,0.201025390625,-0.018519101788842817,0.43358314238721507,-1.5016202658414841,0.9837621878832579,0.1,0.008485664,0.04256165027618408,3e-05,4.061676978721415,42.411168682401374,59.8
459,40.76140236,2287,57.84,513,1050624,,,,,,,,,,,,,
459,41.15495474,2291,58.14,514,1052672,5130,0.211669921875,-0.02134038836811669,0.434922667266801,-1.5213327292352914,0.984688245691359,0.1,0.0094760815,0.04370775818824768,3e-05,,,
459,41.21304144,2296,57.68,515,1054720,5140,0.22841796875,-0.0219904564684839,0.38882863882463425,-1.4818087980151176,0.9890306061133742,0.1,0.010950699,0.06150743365287781,3e-05,,,
459,41.86701067999999,2300,56.62,516,1056768,5150,0.194873046875,-0.01981292317577754,0.46977567991707475,-1.5107608053833246,0.9840631112456322,0.1,0.009085255,0.03828658163547516,3e-05,,,
459,41.77134331,2304,56.74,517,1058816,5160,0.245654296875,-0.022939053666050313,0.35253814129391686,-1.4929800596088172,0.9884670460596681,0.1,0.010317577,0.0054544247686862946,3e-05,,,
,,,,,1060000,5170,0.2169921875,-0.01959397329046624,0.41290925975190473,-1.4911955177783967,0.9849048815667629,0.1,0.0099787675,0.05395674705505371,3e-05,4.746988114336291,42.83062802210171,57.0
459,41.71280011999999,2310,56.39,518,1060864,,,,,,,,,,,,,
459,41.45638951,2314,56.75,519,1062912,5180,0.222265625,-0.02137657097482588,0.6502923225983978,-1.5101251482963562,0.9776692725718021,0.1,0.011422778,0.06310325860977173,3e-05,,,
459,41.59794788999999,2318,56.63,520,1064960,5190,0.20712890625,-0.01976263029355323,0.5019716497976333,-1.4809190280735494,0.9863375257700682,0.1,0.0088918,0.026858441531658173,3e-05,,,
459,42.12769626,2323,56.88,521,1067008,5200,0.2150390625,-0.020961729712144005,0.4451102465391159,-1.4552153196185826,0.9870490422472358,0.1,0.008780044,0.04604334756731987,3e-05,,,
459,41.651288359999995,2327,57.98,522,1069056,5210,0.223583984375,-0.02058005312355817,0.3701380347134545,-1.4654172535985708,0.9892157381400466,0.1,0.010145234,0.04451478272676468,3e-05,,,
,,,,,1070000,5220,0.2345703125,-0.023369559744605795,0.33941787369549276,-1.5045972865074873,0.9901282396167517,0.1,0.009629636,0.015733160078525543,3e-05,6.447802668483352,42.11071713568406,54.9
459,41.75429616999999,2332,58.04,523,1071104,,,,,,,,,,,,,
459,41.91980774999999,2337,57.53,524,1073152,5230,0.213671875,-0.021374616059620166,0.43759574918076394,-1.4838953655213118,0.9865743005648255,0.1,0.010170872,0.030877292156219482,3e-05,,,
459,42.859084650000014,2341,56.86,525,1075200,5240,0.20947265625,-0.021722597504412987,0.3904101413907483,-1.4779577761888505,0.987959885969758,0.1,0.009653671,0.021886616945266724,3e-05,,,
459,42.99547916,2345,56.73,526,1077248,5250,0.207275390625,-0.020311846649565268,0.3851951466407627,-1.4635026324540377,0.9890728117898107,0.1,0.0086661,0.04275720566511154,3e-05,,,
459,43.01323768,2350,58.02,527,1079296,5260,0.219287109375,-0.023108720617892688,0.41034200887661426,-1.483268467336893,0.9851998575031757,0.1,0.011045562,0.005895256996154785,3e-05,,,
,,,,,1080000,5270,0.226171875,-0.021542614803183823,0.4126483108615503,-1.4863331589847804,0.98781549744308,0.1,0.010014111,0.04257436841726303,3e-05,4.116566710839243,44.90019627561815,58.9
459,42.869789069999996,2355,59.27,528,1081344,,,,,,,,,,,,,
459,42.37580955000001,2359,59.93,529,1083392,5280,0.208984375,-0.019376241363352163,0.42679453594610095,-1.4444182638078928,0.9882914153859019,0.1,0.009290836,0.05558988079428673,3e-05,,,
459,41.75024244,2364,59.17,530,1085440,5290,0.22421875,-0.02003673083600006,0.5460786941228435,-1.485983881354332,0.9767166133970022,0.1,0.010516932,0.025186758488416672,3e-05,,,
459,41.49317249,2369,58.75,531,1087488,5300,0.22509765625,-0.020767373021226377,0.3637662826571614,-1.4730207081884146,0.9889637837186456,0.1,0.010454467,0.03155652806162834,3e-05,,,
459,41.98517607000001,2373,57.73,532,1089536,5310,0.22490234375,-0.021537091724167113,0.3710206306655891,-1.4588538721203803,0.9896649466827512,0.1,0.009888897,0.009542426094412804,3e-05,,,
,,,,,1090000,5320,0.21640625,-0.02086581646290142,0.4491082950495183,-1.4740773294121028,0.9844384016469121,0.1,0.010120487,0.02146150916814804,3e-05,6.409287791962262,39.8299851570995,56.2
458,41.857546459999995,2378,58.77,533,1091584,,,,,,,,,,,,,
458,41.38031897,2382,59.3,534,1093632,5330,0.22158203125,-0.019126210143440403,0.46179506843909623,-1.5041896164417268,0.9825576785951853,0.1,0.0108346045,0.009941242635250092,3e-05,,,
458,41.14220786,2387,58.79,535,1095680,5340,0.205224609375,-0.022163842661393575,0.43009323158767077,-1.4724633902311326,0.9871294433251023,0.1,0.0098851435,0.044822461903095245,3e-05,,,
458,41.16630849999999,2391,58.1,536,1097728,5350,0.21826171875,-0.021156568331934977,0.3401279502431862,-1.4545055329799652,0.989419361576438,0.1,0.010211389,-0.006519174203276634,3e-05,,,
459,41.368152900000005,2395,58.99,537,1099776,5360,0.20361328125,-0.02018039743998088,0.4243188576889224,-1.4931241091340781,0.9869946017861366,0.1,0.010431057,0.007206805050373077,3e-05,,,
,,,,,1100000,5370,0.21318359375,-0.020397150311328004,0.40305493152700367,-1.497139710560441,0.9857408441603184,0.1,0.009639182,0.01234370470046997,3e-05,4.3554037248339155,42.622880710864074,56.2
458,41.34681819,2401,60.28,538,1101824,,,,,,,,,,,,,
458,41.534897449999995,2405,59.28,539,1103872,5380,0.195556640625,-0.018666735563601832,0.4061214393819682,-1.414240339025855,0.9861749587580562,0.1,0.010471104,0.039272960275411606,3e-05,,,
458,41.57273615,2409,57.9,540,1105920,5390,0.200634765625,-0.019578312632802408,0.4583771891077049,-1.445707619190216,0.9859377266839147,0.1,0.007939392,0.085848368704319,3e-05,,,
458,42.076192230000004,2414,56.88,541,1107968,5400,0.219384765625,-0.021091059882019182,0.3871030641021207,-1.45622034445405,0.986507655121386,0.1,0.010232316,0.018121907487511635,3e-05,,,
,,,,,1110000,5410,0.235546875,-0.02177470558672212,0.4108430792810395,-1.4502120684832334,0.9859921187162399,0.1,0.010494045,0.037656791508197784,3e-05,4.011537284826981,42.942981019673866,56.3
458,41.65385156,2419,58.61,542,1110016,,,,,,,,,,,,,
458,41.776188430000005,2424,59.18,543,1112064,5420,0.23232421875,-0.02130006845109165,0.36798203866928814,-1.496285504847765,0.9873021459206939,0.1,0.01078791,0.019558899104595184,3e-05,,,
458,42.09278486,2428,60.49,544,1114112,5430,0.23388671875,-0.02309722650825279,0.48518854125868527,-1.4593871399760245,0.9836609251797199,0.1,0.012356464,0.030117791146039963,3e-05,,,
458,42.86382334999999,2433,59.13,545,1116160,5440,0.23662109375,-0.02064696542074671,0.37994566750712694,-1.4659165609627962,0.9896736778318882,0.1,0.011235714,0.028339656069874763,3e-05,,,
458,41.760459940000004,2437,59.29,546,1118208,5450,0.215576171875,-0.02160544838552596,0.3450462191365659,-1.4575802322477103,0.9906968232244253,0.1,0.009845081,0.022321492433547974,3e-05,,,
,,,,,1120000,5460,0.2271484375,-0.021372723003150896,0.49426877906080335,-1.477619895339012,0.9777656011283398,0.1,0.010996044,0.03843013197183609,3e-05,4.461988676503158,41.1225501891263,56.8
