time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,train/explained_variance,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/loss,train/entropy_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/value_loss,eval/mean_ep_length,eval/mean_reward
380000,,,,,,0.9534579887986183,0.04986153,0.2,-0.03640303731244785,-0.04845098778605461,-2.4930774781852962,0.3027587890625,920,0.0003,0.0031768805136380253,87.6,-1.8978842
380928,100.08,-2.6516303299999993,93,398,957,,,,,,,,,,,,
385024,100.63,-2.65988329,94,402,956,0.9349164590239525,0.030889396,0.2,-0.04046044490678469,-0.053352344781160355,-2.5003918439149855,0.3056396484375,930,0.0003,0.003864490715386637,,
389120,101.15,-2.6171716800000002,95,406,957,0.9460149854421616,0.02662221,0.2,-0.03567848447528377,-0.05275161191821098,-2.481516708061099,0.2921875,940,0.0003,0.004451199475352041,,
393216,101.0,-2.56989531,96,410,958,0.959168329834938,0.028912157,0.2,-0.042110536348627645,-0.05782643333077431,-2.5211806792765854,0.3011962890625,950,0.0003,0.0029144437523427767,,
397312,101.08,-2.5348430900000003,97,414,958,0.9341689944267273,0.035444774,0.2,-0.040256051917094735,-0.06454481184482574,-2.500928984954953,0.2865234375,960,0.0003,0.003951919348310184,,
400000,,,,,,0.9518256522715092,0.02897302,0.2,-0.040177553422108755,-0.06151215732097626,-2.5419319581240414,0.3062744140625,970,0.0003,0.0037047854782940705,98.4,-2.0555006
401408,101.44,-2.6294580900000004,98,419,956,,,,,,,,,,,,
405504,101.61,-2.64785718,99,424,956,0.9595014937222004,0.03105541,0.2,-0.04132811155577656,-0.06906173378229141,-2.4891998641192914,0.3133544921875,980,0.0003,0.0031429666593794535,,
409600,101.79,-2.65082358,100,428,956,0.9510756283998489,0.028614938,0.2,-0.03878288563064416,-0.078000508248806,-2.4734160102903844,0.29814453125,990,0.0003,0.003300859516548371,,
413696,101.54,-2.56595696,101,432,956,0.9362922310829163,0.03018273,0.2,-0.03808247749111615,-0.07105710357427597,-2.440373082086444,0.295556640625,1000,0.0003,0.004127327286278159,,
417792,101.32,-2.60171132,102,436,957,0.961340606212616,0.033633485,0.2,-0.03910255212686024,-0.059294138103723526,-2.4577506106346845,0.316748046875,1010,0.0003,0.0030329777946462855,,
420000,,,,,,0.9508559815585613,0.029232733,0.2,-0.03954325488157338,-0.08381224423646927,-2.433774872869253,0.3102783203125,1020,0.0003,0.002966785621356394,96.4,-1.9388932
421888,101.65,-2.6687103799999994,103,440,956,,,,,,,,,,,,
425984,102.39,-2.66383812,104,444,957,0.9469097889959812,0.033232268,0.2,-0.03953821495379088,-0.05229257792234421,-2.40169681571424,0.3216796875,1030,0.0003,0.004131380098988302,,
430080,101.66,-2.667984910000001,105,448,957,0.9486152194440365,0.030346528,0.2,-0.04059089070069603,-0.08309561759233475,-2.400752644240856,0.309130859375,1040,0.0003,0.0035165099473488228,,
434176,100.69,-2.6864068199999998,106,453,958,0.9570027105510235,0.029528936,0.2,-0.04180607229191082,-0.07218104600906372,-2.4016704402863978,0.31982421875,1050,0.0003,0.003428686338247644,,
438272,101.61,-2.6121596600000005,107,457,958,0.9507695101201534,0.033094063,0.2,-0.03615934492263477,-0.07114136219024658,-2.3384889237582684,0.3134521484375,1060,0.0003,0.003824930512564606,,
440000,,,,,,0.9696241524070501,0.0385886,0.2,-0.03780930883949622,-0.005198735278099775,-2.3576365642249586,0.320556640625,1070,0.0003,0.0028139305464719654,89.0,-1.6543157999999998
442368,101.14,-2.56729824,108,461,958,,,,,,,,,,,,
446464,99.66,-2.55707867,109,466,958,0.932169646024704,0.0330481,0.2,-0.041355800339079,-0.06968417018651962,-2.3724616438150408,0.3056396484375,1080,0.0003,0.0037009617434705434,,
