time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/clip_fraction,train/explained_variance,train/value_loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/loss,train/learning_rate,train/entropy_loss,train/clip_range,eval/mean_reward,eval/mean_ep_length,eval/std_reward
,,30000,,,,0.053271484375,0.2549768090248108,46.43781850934029,0.008348681,140,-0.011576307140057907,19.691246032714844,5e-05,-1.7911519747227431,0.2,12.625526067070187,40.2,14.038119537825407
15,52,30720,31.98240807,37.83,583,,,,,,,,,,,,,
16,56,32768,34.09026212,37.32,583,0.010791015625,0.20187628269195557,43.00136724114418,0.0034346117,150,-0.006069972820114344,10.772564888000488,5e-05,-1.7908153165131808,0.2,,,
17,59,34816,35.95006304,37.56,583,0.001513671875,0.23470473289489746,53.50469065308571,0.0027485816,160,-0.005264508226537146,24.55368995666504,5e-05,-1.7893443416804076,0.2,,,
18,63,36864,34.297185060000004,38.19,581,0.016943359375,0.2533993721008301,42.6697754740715,0.0060971547,170,-0.009567486920423108,17.55721092224121,5e-05,-1.7810416094958783,0.2,,,
19,67,38912,33.137351759999994,38.31,572,0.010302734375,0.27966099977493286,36.961920434236525,0.004850027,180,-0.0075059740105643865,15.299962043762207,5e-05,-1.7494617898017168,0.2,,,
,,40000,,,,0.02216796875,0.3195330500602722,35.04868869185448,0.005958599,190,-0.00860730578424409,8.929896354675293,5e-05,-1.754641181603074,0.2,24.261215255332903,40.8,8.279303809712632
20,72,40960,35.264605,38.97,566,,,,,,,,,,,,,
21,76,43008,37.19298159,38.49,561,0.037060546875,0.3525313138961792,34.67641052007675,0.0085684955,200,-0.009821860620286315,11.273761749267578,5e-05,-1.68675346262753,0.2,,,
22,80,45056,35.778813219999996,38.13,560,0.00087890625,0.3027172088623047,44.835362708568574,0.0024746791,210,-0.0046670655880006965,20.437725067138672,5e-05,-1.6693897277116776,0.2,,,
23,83,47104,37.15252909,38.34,561,0.01494140625,0.2220204472541809,27.164885053038596,0.0060803965,220,-0.008102947050792864,12.160399436950684,5e-05,-1.6460894025862216,0.2,,,
24,87,49152,38.79613695,38.58,563,0.005517578125,0.35382580757141113,36.21273205578327,0.0049975887,230,-0.00617889976783772,5.132279396057129,5e-05,-1.687304624542594,0.2,,,
,,50000,,,,0.00107421875,0.323750376701355,35.23160605430603,0.0020434642,240,-0.005481878589489497,13.40194320678711,5e-05,-1.6432118512690068,0.2,30.32321428571429,41.1,9.67432513390809
25,90,51200,39.47257029,38.04,563,,,,,,,,,,,,,
26,94,53248,38.87779844,38.4,564,0.01787109375,0.315177857875824,32.406703904271126,0.004005754,250,-0.009962836792692543,13.833928108215332,5e-05,-1.6322118572890758,0.2,,,
27,97,55296,39.108780890000006,37.56,566,0.018896484375,0.358411967754364,25.82655199766159,0.005671329,260,-0.009170214562618639,9.262198448181152,5e-05,-1.6580027487128972,0.2,,,
28,100,57344,41.03793919999999,38.61,568,0.01533203125,0.3496171236038208,30.97677672505379,0.005952329,270,-0.0102834146891837,19.732158660888672,5e-05,-1.5748488184064626,0.2,,,
29,104,59392,41.14632786,38.82,569,0.01318359375,0.3685864806175232,24.126929941773415,0.0048007453,280,-0.009955003674258478,7.734665393829346,5e-05,-1.5954054392874242,0.2,,,
,,60000,,,,0.01513671875,0.42318928241729736,24.72973976433277,0.00367486,290,-0.010173015516193118,4.108883380889893,5e-05,-1.566499413177371,0.2,29.5953125,39.9,4.467526237424746
30,108,61440,40.489903870000006,37.65,566,,,,,,,,,,,,,
31,112,63488,41.519328890000004,37.26,565,0.002880859375,0.4047573208808899,24.17763928771019,0.0027737767,300,-0.006358707499020966,8.84212589263916,5e-05,-1.5623007744550705,0.2,,,
