time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/n_updates,train/loss,train/learning_rate,train/entropy_loss,train/approx_kl,train/clip_fraction,train/clip_range,eval/mean_reward,eval/std_reward,eval/mean_ep_length
22,36.99,80,17.0997193,562,45056,-0.0025770048690901604,0.8224728107452393,5.1623014591634275,210,2.6469459533691406,5e-05,-1.1883967583999038,0.0009551571,0.0078125,0.1,,,
23,37.68,83,17.371338630000004,562,47104,-0.003069666678493377,0.8459692001342773,3.4415336806327104,220,1.1745471954345703,5e-05,-1.1987960238009692,0.0015059174,0.03017578125,0.1,,,
24,37.89,87,18.01861881,563,49152,-0.002854108199608163,0.8676952421665192,3.6804218288511037,230,2.251753091812134,5e-05,-1.1947642412036656,0.0014685907,0.01884765625,0.1,,,
,,,,,50000,-0.0023179648116638417,0.8584353178739548,3.167502550035715,240,1.610903263092041,5e-05,-1.2010831452906132,0.00091150287,0.008056640625,0.1,6.664640226260654,11.749633102201221,35.4
25,38.76,91,18.56551997,561,51200,,,,,,,,,,,,,
26,38.16,94,18.36539749,560,53248,-0.0034834414600481978,0.8760413378477097,3.5923513205721975,250,1.6387766599655151,5e-05,-1.1799656823277473,0.0017341007,0.036328125,0.1,,,
27,36.66,98,17.6446038,560,55296,-0.004120950581727812,0.8642767518758774,3.756069629639387,260,0.8120933175086975,5e-05,-1.1384828221052885,0.0016394556,0.030419921875,0.1,,,
28,36.9,102,17.84991726,561,57344,-0.0035972804114862813,0.8765655606985092,2.9844059040769935,270,0.5652620196342468,5e-05,-1.1773872449994087,0.001524676,0.031396484375,0.1,,,
29,37.26,105,17.36166087,561,59392,-0.003381767812243197,0.8940905332565308,3.138118084706366,280,1.6248466968536377,5e-05,-1.1579330999404192,0.0013468926,0.02529296875,0.1,,,
,,,,,60000,-0.0028741282010742,0.9033376947045326,2.55978117082268,290,0.3121112883090973,5e-05,-1.1714067008346318,0.00096992566,0.016748046875,0.1,5.3054320228981995,17.256231270012112,36.6
30,37.38,109,18.472545859999997,559,61440,,,,,,,,,,,,,
