time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,train/learning_rate,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/loss,train/clip_range,train/clip_fraction,train/value_loss,eval/mean_ep_length,eval/mean_reward
2588,265,18.242946919999998,1085440,419,93.89,3e-05,2640,-2.5554965481162073,-0.019834307560813613,0.0041256426,0.42498428,2.471432685852051,0.1,0.162109375,12.341381168365478,,
2597,266,19.32188538,1089536,419,93.37,3e-05,2650,-2.5386681884527205,-0.018768225325038655,0.0038782186,0.51305735,2.2508113384246826,0.1,0.1486572265625,14.052747932076453,,
2607,267,19.549976459999996,1093632,419,94.21,3e-05,2660,-2.5631884157657625,-0.018776131962658836,0.0034113189,0.6482749,2.5905539989471436,0.1,0.1390380859375,14.645626962184906,,
2617,268,18.606468469999996,1097728,419,94.39,3e-05,2670,-2.546890863776207,-0.018029456451768056,0.0037141012,0.46572387,3.1993422508239746,0.1,0.14638671875,17.362468737363816,,
2627,269,20.029182950000003,1101824,419,93.43,3e-05,2680,-2.5404792934656144,-0.01893585972720757,0.0038200445,0.65410274,2.8223695755004883,0.1,0.163818359375,14.704820609092712,,
,,,1105920,,,3e-05,2690,-2.5290937930345536,-0.017709470818226693,0.0035353545,0.58101416,2.7326207160949707,0.1,0.1490234375,15.323582711815835,94.0,11.607210493087768
2637,270,19.425508129999997,1105920,419,91.78,,,,,,,,,,,,
2647,271,19.248629479999998,1110016,419,94.17,3e-05,2700,-2.523714601993561,-0.019491937907878308,0.003988732,0.45099425,2.8673744201660156,0.1,0.17021484375,14.793150022625923,,
2657,272,17.73203775,1114112,419,96.1,3e-05,2710,-2.55111711025238,-0.01868265291850548,0.004031258,0.6426338,2.322354793548584,0.1,0.1565185546875,11.384554925560952,,
2667,273,17.73483076,1118208,419,95.11,3e-05,2720,-2.5311616867780686,-0.018378939590184017,0.0039096605,0.44915682,3.8299026489257812,0.1,0.1629150390625,17.77602304816246,,
2676,274,17.55601572,1122304,419,95.35,3e-05,2730,-2.5616612106561663,-0.020340871646476445,0.0046080695,0.5148605,3.0158557891845703,0.1,0.180322265625,12.566093853116035,,
2686,275,19.035469069999998,1126400,419,93.9,3e-05,2740,-2.5507476925849915,-0.022359234539908356,0.004615162,0.52938914,2.0028460025787354,0.1,0.196923828125,11.677994799613952,,
2696,276,18.985039340000004,1130496,419,92.28,3e-05,2750,-2.5254476398229597,-0.018333356293442193,0.0038106998,0.6192205,2.421741485595703,0.1,0.151611328125,13.664894753694535,,
2706,277,18.96550945,1134592,419,92.4,3e-05,2760,-2.547230361402035,-0.018851824136800133,0.003862318,0.61455154,2.2231016159057617,0.1,0.16279296875,13.812382701039315,,
2715,278,20.000287029999996,1138688,419,92.51,3e-05,2770,-2.5423150926828386,-0.017581977853842544,0.0035220347,0.48584533,2.7046711444854736,0.1,0.1471435546875,17.590607118606567,,
2725,279,18.697081070000003,1142784,419,92.15,3e-05,2780,-2.5239292800426485,-0.019243931259552483,0.0042357687,0.621095,1.8447728157043457,0.1,0.167431640625,10.720521180331707,,
,,,1146880,,,3e-05,2790,-2.547814020514488,-0.019056992579135113,0.003887184,0.45910215,3.0362510681152344,0.1,0.1676025390625,14.546996143460273,94.6,20.380434226989745
2736,280,19.400892719999998,1146880,419,92.24,,,,,,,,,,,,
2745,281,18.371859810000004,1150976,419,93.97,3e-05,2800,-2.507230004668236,-0.020209316088585182,0.0046047303,0.42895532,1.4073666334152222,0.1,0.185986328125,7.505459117889404,,
2755,282,19.019007939999998,1155072,419,93.57,3e-05,2810,-2.521782732009888,-0.017983950894267763,0.003542908,0.5136292,3.046142578125,0.1,0.161767578125,14.785743883252144,,
2765,283,18.84761527,1159168,419,92.27,3e-05,2820,-2.5338358119130135,-0.018547415832290425,0.0039065983,0.4787656,2.4283251762390137,0.1,0.156689453125,13.955851715803146,,
2774,284,18.20900709,1163264,419,92.95,3e-05,2830,-2.5047762647271155,-0.01736606588237919,0.0034491955,0.58765835,2.5227303504943848,0.1,0.1303955078125,15.318904972076416,,
2784,285,18.79663551,1167360,419,94.91,3e-05,2840,-2.5275878697633742,-0.018901674906373955,0.0038087012,0.5836126,2.845864772796631,0.1,0.1480224609375,13.842683282494544,,
2794,286,18.51107925,1171456,419,94.46,3e-05,2850,-2.527538388967514,-0.017077196754689793,0.00388129,0.5235802,3.063992738723755,0.1,0.137255859375,13.710503461956979,,
2804,287,18.439745059999996,1175552,419,92.97,3e-05,2860,-2.5327470511198045,-0.018475362472236155,0.003976636,0.4184667,2.8754732608795166,0.1,0.1565673828125,13.239564126729965,,
2813,288,19.06521369,1179648,419,92.72,3e-05,2870,-2.5166852310299874,-0.017968723736703395,0.0037842672,0.53923094,2.861576795578003,0.1,0.1541015625,15.217314940690994,,
2823,289,19.13075086,1183744,419,92.98,3e-05,2880,-2.5037280559539794,-0.018123317215940914,0.0036743206,0.5190437,2.298238515853882,0.1,0.1487548828125,13.07338008582592,,
,,,1187840,,,3e-05,2890,-2.528312200307846,-0.018454363613273017,0.0038871216,0.5866431,2.5739734172821045,0.1,0.1494140625,11.79898068010807,91.0,12.33244776725769
2834,290,19.58279555,1187840,419,93.21,,,,,,,,,,,,
2843,291,19.83116508,1191936,419,92.65,3e-05,2900,-2.504297931492329,-0.020840616003260946,0.0044468297,0.41943914,1.809975028038025,0.1,0.184521484375,9.586805376410485,,
2853,292,19.874364840000002,1196032,419,94.24,3e-05,2910,-2.510896252095699,-0.021122555612237193,0.00463947,0.41186005,3.028219699859619,0.1,0.18388671875,12.817952752113342,,
2863,293,20.128151629999998,1200128,419,93.63,3e-05,2920,-2.5316767632961272,-0.020192328315170018,0.004279695,0.48057824,1.7215261459350586,0.1,0.1891357421875,10.333928604423999,,
2873,294,20.75840807,1204224,419,93.04,3e-05,2930,-2.531151753664017,-0.019004821982525753,0.0039134715,0.4987725,1.5398179292678833,0.1,0.16669921875,10.27843390405178,,
2882,295,20.98856611,1208320,419,92.7,3e-05,2940,-2.5144796639680864,-0.01979225551185664,0.00414972,0.53307056,1.8196461200714111,0.1,0.1725830078125,9.708718441426754,,
2892,296,20.795744749999997,1212416,419,93.92,3e-05,2950,-2.5338966965675356,-0.018144880230829587,0.0036202911,0.6488278,1.8302518129348755,0.1,0.150732421875,11.042917110025883,,
2902,297,20.60330577,1216512,419,94.11,3e-05,2960,-2.5512121975421906,-0.02068538927996997,0.004236006,0.3504293,1.5746195316314697,0.1,0.180712890625,7.643677622079849,,
2912,298,20.729987880000003,1220608,419,93.13,3e-05,2970,-2.571406142413616,-0.020061598366010003,0.0038300199,0.60380524,2.0587809085845947,0.1,0.1674560546875,11.700869101285935,,
2921,299,19.514087400000005,1224704,419,91.84,3e-05,2980,-2.525978770852089,-0.018871414168097546,0.004255851,0.67838573,1.6879757642745972,0.1,0.153515625,9.62421605437994,,
,,,1228800,,,3e-05,2990,-2.5203002497553824,-0.01923331729340134,0.0039890804,0.6016797,1.8641924858093262,0.1,0.176513671875,9.180322159826755,96.0,20.8865909576416
2932,300,18.375440110000003,1228800,419,93.53,,,,,,,,,,,,
2942,301,19.89357037,1232896,419,93.58,3e-05,3000,-2.5272059410810472,-0.018998539363383315,0.00393607,0.5111723,1.8881535530090332,0.1,0.170068359375,10.289261071383953,,
2951,302,21.15697693,1236992,419,93.67,3e-05,3010,-2.4947393581271173,-0.018873651848116423,0.004603681,0.41499293,1.6168642044067383,0.1,0.1832275390625,7.882569569349289,,
2961,303,19.12942669,1241088,419,94.17,3e-05,3020,-2.5272423550486565,-0.0194765392516274,0.0046467194,0.4535392,1.6993143558502197,0.1,0.184619140625,9.437958705425263,,
2971,304,18.314400719999995,1245184,419,94.14,3e-05,3030,-2.5277526289224626,-0.015769866849586832,0.0034485764,0.5510062,2.6879427433013916,0.1,0.123583984375,15.637984719872474,,
2981,305,20.64267966,1249280,419,93.12,3e-05,3040,-2.492968998849392,-0.018837241898290814,0.0039945366,0.565336,2.4775869846343994,0.1,0.165185546875,12.85343213379383,,
2990,306,20.98970978,1253376,419,94.39,3e-05,3050,-2.480673223733902,-0.01927380792913027,0.003798367,0.6085645,2.003026008605957,0.1,0.1606201171875,9.724032993614674,,
3000,307,19.006110720000002,1257472,419,95.18,3e-05,3060,-2.4923560351133345,-0.018808166043891107,0.0039337333,0.5899422,1.842773675918579,0.1,0.1542724609375,9.956165224313736,,
3010,308,18.919885789999995,1261568,419,95.25,3e-05,3070,-2.5059615179896353,-0.01793899202893954,0.003662097,0.4933415,2.4260761737823486,0.1,0.1541015625,12.367999842762947,,
3020,309,17.86157407,1265664,419,95.63,3e-05,3080,-2.52094202786684,-0.0183712576108519,0.0038103163,0.3815053,2.556509494781494,0.1,0.1551025390625,11.452037945389748,,
,,,1269760,,,3e-05,3090,-2.5161080956459045,-0.018630225711967797,0.0041917018,0.6086649,2.0359628200531006,0.1,0.1611083984375,11.417838311195373,97.4,17.240038013458253
3031,310,18.35288957,1269760,418,94.93,,,,,,,,,,,,
3040,311,20.133278519999998,1273856,418,92.64,3e-05,3100,-2.5254446044564247,-0.016278899590543006,0.0033875671,0.4894719,2.75728440284729,0.1,0.1324462890625,17.061825713515283,,
3050,312,19.01328033,1277952,418,94.47,3e-05,3110,-2.5021178141236304,-0.017490716729662383,0.0038595386,0.5287645,2.65417218208313,0.1,0.14833984375,15.642877739667892,,
3060,313,18.689763499999998,1282048,418,94.67,3e-05,3120,-2.517413030564785,-0.018882162860245445,0.0038032746,0.55704474,1.844327449798584,0.1,0.1585693359375,9.630615051090718,,
3070,314,19.7302806,1286144,418,94.38,3e-05,3130,-2.5384561687707903,-0.019175557214475704,0.004218625,0.2642048,1.3636157512664795,0.1,0.1795654296875,8.98454470038414,,
3079,315,20.46591896,1290240,418,93.44,3e-05,3140,-2.5074328139424322,-0.019926702612428925,0.0042942315,0.48544824,1.5754185914993286,0.1,0.1713134765625,11.812488590180873,,
3089,316,22.135032690000003,1294336,418,91.46,3e-05,3150,-2.537619377672672,-0.01948472818476148,0.0041947616,0.57100797,1.6851646900177002,0.1,0.1645263671875,10.631356045603752,,
3099,317,20.348651860000004,1298432,418,93.99,3e-05,3160,-2.5258005753159525,-0.02184228671249002,0.0052192314,0.46483052,1.4867842197418213,0.1,0.205859375,8.268485245108604,,
3108,318,18.947448550000004,1302528,418,94.66,3e-05,3170,-2.5143557518720625,-0.020978225606086198,0.0046429327,0.5736257,1.1393415927886963,0.1,0.18779296875,8.192512513697148,,
3118,319,19.7177283,1306624,418,92.95,3e-05,3180,-2.50983919352293,-0.015804813918657602,0.0031008436,0.421772,3.5646321773529053,0.1,0.1323486328125,23.609370511770248,,
,,,1310720,,,3e-05,3190,-2.536425645649433,-0.01976748674933333,0.004009666,0.5463646,2.4142563343048096,0.1,0.1607177734375,10.998159581422806,87.6,19.48589172363281
3129,320,20.53175381,1310720,418,91.35,,,,,,,,,,,,
3138,321,20.874543259999996,1314816,418,92.21,3e-05,3200,-2.5249480709433554,-0.016441507656418254,0.0031954763,0.515396,4.363910675048828,0.1,0.131640625,18.695115372538567,,
3148,322,20.05974087,1318912,418,93.88,3e-05,3210,-2.515084709227085,-0.01876168798771687,0.004283267,0.4272992,1.3843908309936523,0.1,0.1579833984375,9.920696878433228,,
3158,323,18.41517885,1323008,418,93.63,3e-05,3220,-2.524707993865013,-0.01774400960712228,0.0037658995,0.6452345,2.340531826019287,0.1,0.1390380859375,13.247780671715736,,
3168,324,18.57245892,1327104,418,92.84,3e-05,3230,-2.494348721206188,-0.017589402399607934,0.0037760718,0.10562962,1.6925573348999023,0.1,0.1458740234375,11.802523836493492,,
3177,325,19.280655479999997,1331200,418,94.08,3e-05,3240,-2.498143708705902,-0.017297369055449964,0.003602494,0.3333,2.814671277999878,0.1,0.1512939453125,13.471689304709434,,
3187,326,20.906514800000004,1335296,418,93.83,3e-05,3250,-2.509913957118988,-0.017875151471525897,0.0036208206,0.6097214,1.6606955528259277,0.1,0.142333984375,9.892189367115497,,
