global_step,CR/idle_time,CR/idle_time_cost,CR/makespan,CR/makespan_cost,CR/processing_time,CR/tard_cost,CR/total_cost,CR/total_tardiness,ETD/idle_time,ETD/idle_time_cost,ETD/makespan,ETD/makespan_cost,ETD/processing_time,ETD/tard_cost,ETD/total_cost,ETD/total_tardiness,FDD_over_MWKR/idle_time,FDD_over_MWKR/idle_time_cost,FDD_over_MWKR/makespan,FDD_over_MWKR/makespan_cost,FDD_over_MWKR/processing_time,FDD_over_MWKR/tard_cost,FDD_over_MWKR/total_cost,FDD_over_MWKR/total_tardiness,LWKR_MOD/idle_time,LWKR_MOD/idle_time_cost,LWKR_MOD/makespan,LWKR_MOD/makespan_cost,LWKR_MOD/processing_time,LWKR_MOD/tard_cost,LWKR_MOD/total_cost,LWKR_MOD/total_tardiness,LWKR_SPT/idle_time,LWKR_SPT/idle_time_cost,LWKR_SPT/makespan,LWKR_SPT/makespan_cost,LWKR_SPT/processing_time,LWKR_SPT/tard_cost,LWKR_SPT/total_cost,LWKR_SPT/total_tardiness,MWKR/idle_time,MWKR/idle_time_cost,MWKR/makespan,MWKR/makespan_cost,MWKR/processing_time,MWKR/tard_cost,MWKR/total_cost,MWKR/total_tardiness,PPO/idle_time,PPO/idle_time_cost,PPO/makespan,PPO/makespan_cost,PPO/processing_time,PPO/tard_cost,PPO/total_cost,PPO/total_tardiness
23,0,0.0,2300,230.0,6700,320.0,684.0,6400,1000,10.0,2800,280.0,6700,140.0,564.0,2800,0,0.0,2300,230.0,6700,450.0,814.0,9000,200,2.0,2400,240.0,6700,165.0,541.0,3300,200,2.0,2500,250.0,6700,250.0,636.0,5000,0,0.0,2300,230.0,6700,450.0,814.0,9000,0,0.0,2300,230.0,6700,75.0,439.0,1500
24,200,2.0,2200,220.0,6100,185.0,529.0,3700,500,5.0,2300,230.0,6100,50.0,407.0,1000,0,0.0,2100,210.0,6100,310.0,642.0,6200,200,2.0,2200,220.0,6100,100.0,444.0,2000,300,3.0,2300,230.0,6100,190.0,545.0,3800,0,0.0,2100,210.0,6100,310.0,642.0,6200,200,2.0,2200,220.0,6100,20.0,364.0,400
25,100,1.0,2500,250.0,6900,250.0,639.0,5000,400,4.0,2500,250.0,6900,65.0,457.0,1300,0,0.0,2500,250.0,6900,410.0,798.0,8200,200,2.0,2500,250.0,6900,110.0,500.0,2200,1100,11.0,2900,290.0,6900,200.0,639.0,4000,200,2.0,2500,250.0,6900,395.0,785.0,7900,300,3.0,2500,250.0,6900,30.0,421.0,600
26,0,0.0,2000,200.0,5600,170.0,482.0,3400,400,4.0,2100,210.0,5600,80.0,406.0,1600,0,0.0,2000,200.0,5600,285.0,597.0,5700,400,4.0,2000,200.0,5600,120.0,436.0,2400,600,6.0,2200,220.0,5600,230.0,568.0,4600,0,0.0,2000,200.0,5600,285.0,597.0,5700,100,1.0,2000,200.0,5600,35.0,348.0,700
27,200,2.0,2100,210.0,5300,175.0,493.0,3500,800,8.0,2300,230.0,5300,100.0,444.0,2000,0,0.0,2100,210.0,5300,310.0,626.0,6200,500,5.0,2200,220.0,5300,140.0,471.0,2800,800,8.0,2200,220.0,5300,220.0,554.0,4400,100,1.0,2100,210.0,5300,315.0,632.0,6300,100,1.0,2100,210.0,5300,50.0,367.0,1000
28,200,2.0,3400,340.0,7800,310.0,808.0,6200,1600,16.0,3800,380.0,7800,55.0,607.0,1100,100,1.0,3400,340.0,7800,530.0,1027.0,10600,500,5.0,3400,340.0,7800,105.0,606.0,2100,2800,28.0,4300,430.0,7800,270.0,884.0,5400,800,8.0,3400,340.0,7800,595.0,1099.0,11900,1700,17.0,3800,380.0,7800,5.0,558.0,100
29,0,0.0,2500,250.0,5800,215.0,581.0,4300,200,2.0,2600,260.0,5800,70.0,448.0,1400,0,0.0,2500,250.0,5800,350.0,716.0,7000,800,8.0,2600,260.0,5800,125.0,509.0,2500,800,8.0,2900,290.0,5800,205.0,619.0,4100,0,0.0,2500,250.0,5800,350.0,716.0,7000,200,2.0,2500,250.0,5800,40.0,408.0,800
30,0,0.0,2000,200.0,5600,175.0,487.0,3500,300,3.0,2200,220.0,5600,80.0,415.0,1600,0,0.0,2000,200.0,5600,320.0,632.0,6400,900,9.0,2300,230.0,5600,120.0,471.0,2400,600,6.0,2200,220.0,5600,235.0,573.0,4700,0,0.0,2000,200.0,5600,320.0,632.0,6400,200,2.0,2100,210.0,5600,25.0,349.0,500
31,0,0.0,1700,170.0,4700,110.0,374.0,2200,600,6.0,1900,190.0,4700,25.0,315.0,500,0,0.0,1700,170.0,4700,205.0,469.0,4100,600,6.0,1900,190.0,4700,55.0,345.0,1100,1000,10.0,2000,200.0,4700,190.0,494.0,3800,0,0.0,1700,170.0,4700,205.0,469.0,4100,500,5.0,1800,180.0,4700,10.0,289.0,200
32,300,3.0,2300,230.0,5800,180.0,529.0,3600,500,5.0,2400,240.0,5800,65.0,426.0,1300,0,0.0,2300,230.0,5800,350.0,696.0,7000,500,5.0,2400,240.0,5800,140.0,501.0,2800,1100,11.0,2600,260.0,5800,290.0,677.0,5800,200,2.0,2300,230.0,5800,360.0,708.0,7200,200,2.0,2300,230.0,5800,20.0,368.0,400
33,600,6.0,2400,240.0,5800,140.0,502.0,2800,700,7.0,2500,250.0,5800,15.0,388.0,300,200,2.0,2400,240.0,5800,265.0,623.0,5300,600,6.0,2500,250.0,5800,70.0,442.0,1400,1000,10.0,2700,270.0,5800,150.0,546.0,3000,200,2.0,2400,240.0,5800,260.0,618.0,5200,700,7.0,2500,250.0,5800,5.0,378.0,100
34,200,2.0,2400,240.0,5400,210.0,560.0,4200,600,6.0,2500,250.0,5400,115.0,479.0,2300,0,0.0,2400,240.0,5400,350.0,698.0,7000,600,6.0,2500,250.0,5400,150.0,514.0,3000,900,9.0,2600,260.0,5400,225.0,602.0,4500,0,0.0,2400,240.0,5400,350.0,698.0,7000,0,0.0,2400,240.0,5400,60.0,408.0,1200
35,0,0.0,2100,210.0,5900,220.0,548.0,4400,800,8.0,2400,240.0,5900,80.0,446.0,1600,0,0.0,2100,210.0,5900,320.0,648.0,6400,100,1.0,2100,210.0,5900,115.0,444.0,2300,300,3.0,2200,220.0,5900,160.0,501.0,3200,0,0.0,2100,210.0,5900,300.0,628.0,6000,500,5.0,2300,230.0,5900,45.0,398.0,900
36,200,2.0,1900,190.0,4700,90.0,376.0,1800,1200,12.0,2300,230.0,4700,10.0,346.0,200,0,0.0,1900,190.0,4700,135.0,419.0,2700,600,6.0,2000,200.0,4700,45.0,345.0,900,1700,17.0,2500,250.0,4700,60.0,421.0,1200,400,4.0,1900,190.0,4700,120.0,408.0,2400,1200,12.0,2300,230.0,4700,5.0,341.0,100
37,800,8.0,2700,270.0,5900,135.0,531.0,2700,2000,20.0,3100,310.0,5900,10.0,458.0,200,200,2.0,2700,270.0,5900,230.0,620.0,4600,800,8.0,2700,270.0,5900,35.0,431.0,700,2500,25.0,3500,350.0,5900,95.0,588.0,1900,1100,11.0,2700,270.0,5900,260.0,659.0,5200,1600,16.0,2900,290.0,5900,15.0,439.0,300
38,100,1.0,1900,190.0,5100,95.0,388.0,1900,800,8.0,2300,230.0,5100,10.0,350.0,200,0,0.0,1900,190.0,5100,180.0,472.0,3600,300,3.0,2000,200.0,5100,35.0,340.0,700,100,1.0,1900,190.0,5100,100.0,393.0,2000,200,2.0,1900,190.0,5100,160.0,454.0,3200,0,0.0,1900,190.0,5100,5.0,297.0,100
39,100,1.0,3300,330.0,8300,440.0,937.0,8800,600,6.0,3400,340.0,8300,100.0,612.0,2000,100,1.0,3300,330.0,8300,660.0,1157.0,13200,700,7.0,3400,340.0,8300,240.0,753.0,4800,2400,24.0,4100,410.0,8300,490.0,1090.0,9800,300,3.0,3300,330.0,8300,680.0,1179.0,13600,500,5.0,3400,340.0,8300,45.0,556.0,900
40,100,1.0,2500,250.0,6900,250.0,639.0,5000,400,4.0,2500,250.0,6900,65.0,457.0,1300,0,0.0,2500,250.0,6900,410.0,798.0,8200,200,2.0,2500,250.0,6900,110.0,500.0,2200,1100,11.0,2900,290.0,6900,200.0,639.0,4000,200,2.0,2500,250.0,6900,395.0,785.0,7900,300,3.0,2500,250.0,6900,30.0,421.0,600
41,100,1.0,1800,180.0,4800,95.0,372.0,1900,200,2.0,1900,190.0,4800,25.0,313.0,500,0,0.0,1800,180.0,4800,155.0,431.0,3100,100,1.0,1800,180.0,4800,35.0,312.0,700,500,5.0,1900,190.0,4800,130.0,421.0,2600,200,2.0,1800,180.0,4800,175.0,453.0,3500,200,2.0,1800,180.0,4800,5.0,283.0,100
42,0,0.0,2400,240.0,6100,265.0,627.0,5300,600,6.0,2600,260.0,6100,145.0,533.0,2900,0,0.0,2400,240.0,6100,405.0,767.0,8100,500,5.0,2500,250.0,6100,170.0,547.0,3400,600,6.0,2600,260.0,6100,250.0,638.0,5000,0,0.0,2400,240.0,6100,405.0,767.0,8100,0,0.0,2400,240.0,6100,75.0,437.0,1500
43,100,1.0,2400,240.0,6500,210.0,581.0,4200,300,3.0,2400,240.0,6500,55.0,428.0,1100,0,0.0,2300,230.0,6500,360.0,720.0,7200,400,4.0,2500,250.0,6500,120.0,504.0,2400,800,8.0,2600,260.0,6500,320.0,718.0,6400,0,0.0,2300,230.0,6500,360.0,720.0,7200,300,3.0,2400,240.0,6500,20.0,393.0,400
